,epochs,train,val,test
0,0.0,0.0007207076400799938,0.00041088077751333396,0.0002458327172414147
1,1.0,0.0003242779299438195,0.0002321773542202719,0.00014941123680719759
2,2.0,0.0001771211915354666,0.00011751613527812046,6.95101174974266e-05
3,3.0,0.00011431487706713542,8.196778120114108e-05,5.4001721791413544e-05
4,4.0,7.815597165847123e-05,5.6450610196352e-05,3.592161166633239e-05
5,5.0,5.4258121681664996e-05,3.858199894650805e-05,2.7448191481284955e-05
6,6.0,4.100275715535103e-05,2.870378738082709e-05,2.0115385429146518e-05
7,7.0,3.322694685888044e-05,2.375826331986521e-05,1.7723555228344515e-05
8,8.0,2.823473652268189e-05,2.0658538862924305e-05,1.5699606287004555e-05
9,9.0,2.5450326357178643e-05,1.8808225818477036e-05,1.444751651285961e-05
10,10.0,2.3497307451241097e-05,1.741538466942925e-05,1.381032403823319e-05
11,11.0,2.2192069236392956e-05,1.6869570687283523e-05,1.3279213267130423e-05
12,12.0,2.13717684055358e-05,1.607692628717719e-05,1.288221486554723e-05
13,13.0,2.0817119048719444e-05,1.593094096527471e-05,1.2737461832162255e-05
14,14.0,2.038793158224397e-05,1.5494419393099765e-05,1.2415832562104682e-05
15,15.0,2.0132991511614484e-05,1.5374463456272304e-05,1.2407938391898617e-05
16,16.0,1.9916453436597186e-05,1.5239574708362122e-05,1.231592720310151e-05
17,17.0,1.9778087091809465e-05,1.510818631383227e-05,1.2213742460255894e-05
18,18.0,1.97370211980046e-05,1.5067426980093655e-05,1.2231904195843741e-05
19,19.0,1.9616683008991087e-05,1.5066256528772174e-05,1.220909306062164e-05
20,20.0,1.9573827905157906e-05,1.5081456952647558e-05,1.221718442704628e-05
21,21.0,1.948071254549771e-05,1.5018308524065202e-05,1.214049568548479e-05
22,22.0,1.9492121022200706e-05,1.5081141602972983e-05,1.2231952528266898e-05
23,23.0,1.9512339513743873e-05,1.522134792926308e-05,1.230406874440782e-05
24,24.0,1.963937411912275e-05,1.571115570384682e-05,1.2405705424683406e-05
25,25.0,1.9616017096202695e-05,1.5209413579814513e-05,1.2317294195749368e-05
26,26.0,1.945879462184576e-05,1.5125909277514573e-05,1.2304153517955443e-05
27,27.0,1.9424100986522536e-05,1.5112633721162681e-05,1.2246522064896946e-05
28,28.0,1.946624715026881e-05,1.5239651732513986e-05,1.2336403581852098e-05
29,29.0,1.9643084596848703e-05,1.5160635354084201e-05,1.2349477068904319e-05
30,30.0,1.970327563878339e-05,1.511203678114994e-05,1.2235558934216971e-05
31,31.0,1.985510449541015e-05,1.5659969823849667e-05,1.241945797339421e-05
32,32.0,1.977265560457486e-05,1.5090727554567707e-05,1.2176197416566042e-05
33,33.0,1.9534043946613482e-05,1.5050499227294784e-05,1.2190949842255406e-05
34,34.0,1.953209443200436e-05,1.5164371966581755e-05,1.2197115567048326e-05
35,35.0,1.9783373999835723e-05,1.5258733252789008e-05,1.2186730500473552e-05
36,36.0,1.9911723071623714e-05,1.5281969993842838e-05,1.2377528629458623e-05
37,37.0,1.958100462071528e-05,1.5536349860004714e-05,1.258819417848118e-05
38,38.0,1.964148050270699e-05,1.5137667305103552e-05,1.2302073361043621e-05
39,39.0,1.9612060520596108e-05,1.5166280449756895e-05,1.2349296712141634e-05
40,40.0,1.958752721736537e-05,1.5068772818808753e-05,1.22758403000243e-05
41,41.0,1.9525526009672533e-05,1.5734617286856025e-05,1.2722988415171568e-05
42,42.0,1.9647269055781032e-05,1.5329518784525187e-05,1.2394785988509943e-05
43,43.0,1.95165248012934e-05,1.528496894139499e-05,1.2363703346920629e-05
44,44.0,1.9514617229244877e-05,1.5037755539239787e-05,1.2171234706605512e-05
45,45.0,1.9457799339064903e-05,1.5502819796585043e-05,1.2631650126647809e-05
46,46.0,1.9617848619990504e-05,1.5018210517649444e-05,1.2198443502181319e-05
47,47.0,1.9720114520763526e-05,1.589678752647545e-05,1.2546022957579919e-05
48,48.0,1.9702699904420074e-05,1.50652492053773e-05,1.2221496110206839e-05
49,49.0,1.9776818332673487e-05,1.5054049760106394e-05,1.2194206620392862e-05
50,50.0,1.9760660349446677e-05,1.551037269033359e-05,1.2593382153892642e-05
51,51.0,1.976080445169589e-05,1.539871123154397e-05,1.249260672932112e-05
