,mean,std
0,0.04022521240117372,0.026452003928649857
1,0.01361878730616738,0.009032175542573946
2,0.005767243547731386,0.0037431133213169745
3,0.002716788598862395,0.0017435047134426772
4,0.0011749488756326797,0.0007331230933693877
5,0.0006016272980863143,0.00036899414126383547
6,0.00028793598803600887,0.00016731668760765352
7,0.00013594533819134879,6.936675791691769e-05
8,8.740216150360814e-05,3.9574051182130546e-05
9,5.585354567372356e-05,2.0803928980521405e-05
10,4.241356024716984e-05,1.3544436244565777e-05
11,3.219425453310971e-05,7.311933925353137e-06
12,2.6599455764413176e-05,4.2969009557781426e-06
13,2.3032503323059567e-05,1.8245744667831976e-06
14,2.0950292311147368e-05,6.135305309093608e-07
15,2.0038610124735727e-05,1.511316422316323e-07
16,1.9756354541656252e-05,2.6177917661479587e-07
17,1.9640168244939693e-05,1.4452929603559735e-07
18,1.9607795990869698e-05,1.1305928033314228e-07
19,1.9618046642361605e-05,1.6817195698889705e-07
20,1.9649727688159266e-05,6.392596750721647e-08
21,1.9676726258215682e-05,1.7781452598746493e-07
22,1.9649506174494237e-05,1.7012804076795134e-07
23,1.9628499447993036e-05,1.7729822576215297e-07
24,1.961713400637107e-05,8.706649722091478e-08
25,1.9619916358141504e-05,1.1016532682406386e-07
26,1.9605468562285925e-05,1.1840995757463659e-07
27,1.958707101592855e-05,1.2472967202542677e-07
28,1.968719510724207e-05,2.182049615892014e-07
29,1.9731161428588465e-05,1.1338129043621618e-07
30,1.964881157607903e-05,1.7550646363139458e-07
31,1.9727260589521478e-05,1.5245102024044646e-07
32,1.9697479671058175e-05,1.451288296860272e-07
33,1.9724096105042364e-05,1.395024985284841e-07
34,1.976301337638393e-05,3.01238553148048e-07
35,1.9982441446026787e-05,3.2935037364964764e-07
36,1.9911855235436804e-05,8.996407292642543e-08
37,1.958493933231797e-05,5.080519347436534e-08
38,1.969356734797024e-05,3.0253074067891796e-07
39,1.9657773112173772e-05,1.5463623535616472e-07
40,1.9596076513280097e-05,1.1364579692908278e-07
41,1.9531271918826438e-05,7.510595909469681e-08
42,1.966531590091612e-05,1.532641673550878e-07
43,1.9645684094919627e-05,1.676575458089341e-07
44,1.9754605051250378e-05,3.204579734855737e-07
45,1.9725307050111826e-05,2.0651224253386226e-07
46,1.9706070881738007e-05,2.4146441219807056e-07
47,1.9801758887607183e-05,1.1882423595548297e-07
48,1.9807214198341944e-05,1.6654427620898712e-07
49,1.9778035662202045e-05,9.551020893693182e-08
50,1.9777112042906115e-05,1.4614183831859784e-07
51,1.9745932555623734e-05,9.417971033112586e-08
52,1.983192165924398e-05,2.78241250856874e-07
53,1.9856570133359615e-05,3.7115301286516597e-07
54,1.982068132747609e-05,2.9234711554012243e-07
55,1.9837607920107087e-05,3.91485399569084e-07
56,2.0056694547899133e-05,6.907347877617742e-07
57,1.9916234224232698e-05,2.799732974132749e-07
58,1.9891154021048536e-05,3.228325311176079e-07
59,1.9836824729355556e-05,2.2871924899399568e-07
60,1.980397675021661e-05,2.146683642232259e-07
61,1.9709749934520113e-05,2.0970418402728416e-07
62,1.981236062469657e-05,1.5660227247170137e-07
63,1.9935414681916136e-05,2.2408392558577697e-07
64,1.9831813076387658e-05,1.196996434232425e-07
65,2.001294913995842e-05,2.566641473810441e-07
66,2.010468707714988e-05,3.233653464292107e-07
67,1.992422780177658e-05,2.8844857213773494e-07
68,2.0122954871604514e-05,6.773407457595307e-07
69,2.0645250482982117e-05,1.3270940733976648e-06
70,2.1806116205092662e-05,3.463893681673341e-06
71,2.323344543319494e-05,5.600073127145531e-06
72,2.15294552066183e-05,2.7894381403554288e-06
73,2.0032515645728757e-05,4.047373928480477e-07
74,1.995959645863187e-05,2.5281158162342463e-07
75,1.996366595856516e-05,2.0649016447149724e-07
76,1.995169292246091e-05,5.24513563733795e-07
77,2.0235492327905767e-05,5.831678407202961e-07
78,2.030437258647348e-05,3.552028503161174e-07
79,1.988868739603521e-05,2.866410344785669e-07
80,2.0047781823305186e-05,6.667429693120371e-07
81,2.0839827286813152e-05,1.5188648528436545e-06
82,2.062164807968288e-05,9.598557358181821e-07
83,2.0530822132191916e-05,1.0339711465969654e-06
84,2.06970478051169e-05,8.411830617690517e-07
85,2.3453131553803597e-05,5.889298859853678e-06
86,2.6608465119843485e-05,1.2764162665316477e-05
87,3.2260666720565346e-05,2.3521242427198105e-05
88,2.5109099093159577e-05,6.00529246459403e-06
89,2.205676652962947e-05,2.1711147733149806e-06
90,2.155772321864055e-05,1.7001900667053207e-06
91,2.4112310818364843e-05,4.039002870452243e-06
92,2.5862659053835483e-05,6.961889447408719e-06
93,3.580876606093783e-05,1.4835835727086026e-05
94,2.5845133112309546e-05,6.21701488484209e-06
95,2.2826813062353228e-05,1.781553584881745e-06
96,2.2961593844349304e-05,2.5651127654251367e-06
97,2.4944019414555633e-05,7.698190087160723e-06
98,2.665158813577716e-05,8.071918875661081e-06
99,2.6447656643935802e-05,6.744822701992838e-06
100,3.22644366294189e-05,1.2957168164008392e-05
101,3.9635401316653705e-05,2.8928204340804e-05
102,5.514842629278504e-05,5.568042468865927e-05
103,6.210273527362274e-05,2.8732340890474704e-05
104,5.672005541081678e-05,2.7419340312887773e-05
105,4.7614087353691116e-05,2.4540280230993367e-05
106,0.00015216843583282816,0.0001371690659097282
107,0.00010220270152528775,7.718382442846012e-05
108,0.0008517495719090198,0.0016001299429031976
109,0.0007788796065326849,0.0014450323016180877
110,0.00032473343562819477,0.0005897110476610235
111,0.0003265458788376378,0.00034638359557650404
112,0.0009244010701496623,0.0016036300063108693
113,0.0006185530212177838,0.0010864080443091508
114,0.0007666039604780879,0.0012078567455834222
115,0.0007985451874930503,0.0010549651395842588
116,0.0007165966799877295,0.0009268332504971644
117,0.000497277500586244,0.00049065411639109
118,0.00032000194614057657,0.00036115982049860396
119,0.00015329745475604228,8.979733916682605e-05
120,0.0001376354611999701,8.318645255306903e-05
121,0.00011046100453230754,6.5879960346116e-05
122,0.00014549638632811073,0.0001865643063307766
123,0.00018785175876158804,0.0002961468681309974
124,0.00017730257916530375,0.0003034291147300067
125,0.00011509555178092157,0.0001852448270043219
126,4.7593811272219125e-05,4.8238137915115256e-05
127,2.784792451555949e-05,1.0817575389571279e-05
128,2.227914762036598e-05,1.6752094808060924e-06
129,2.229230263474374e-05,1.7530307869157253e-06
130,2.3263325840560084e-05,4.0933747642105385e-06
131,2.6992298527595874e-05,7.2068231071395904e-06
132,3.0503462108081028e-05,8.547730994261627e-06
133,2.998449113831597e-05,1.0992301139266844e-05
134,2.7368569051835475e-05,5.431936515674508e-06
135,2.5803590976323894e-05,5.953087926276866e-06
136,8.60081255894305e-05,0.00012888523846869585
137,0.00011875980362667835,0.00018071516991472096
138,8.665251778789359e-05,9.677429256462558e-05
139,5.839068301942795e-05,3.937819887893386e-05
140,8.923371206177982e-05,7.798140179819649e-05
141,5.605225734881062e-05,4.365518043774764e-05
142,3.621841611931709e-05,2.4575790572036212e-05
143,2.6548154786723668e-05,4.609786275830372e-06
144,2.4697173094234622e-05,5.3699267275303384e-06
145,2.3702311813188623e-05,3.854927457241415e-06
146,4.1583330849588995e-05,2.4423435234587536e-05
147,0.0001339656242020711,0.00012011247338924819
148,0.0010830780684787096,0.001569994377920079
149,0.0012751109042979506,0.0022446479316436466
150,0.000562939208795864,0.0006804116211096315
151,0.000375312038495824,0.0003920759615362302
152,0.00023332888799940192,0.0002403293230796017
153,0.00014663090448022438,0.0001399372961533965
154,0.0002884304472096553,0.0003593530000653548
155,0.0007768825721843911,0.0009728163817842849
156,0.0003862485547299558,0.0006239115663169432
157,0.0007887392076802441,0.0012403407132876051
158,0.0005683572575483357,0.001048796318967509
159,0.00039151247950348683,0.0006870239656546572
160,0.00019038647523920936,0.00018949768447320916
161,0.00012719407629166007,0.00013091573497415503
162,0.00012891190690446258,0.00015171790376262038
163,8.28520013120409e-05,7.736588223864037e-05
164,0.00011776189082654204,0.00018059215301458983
165,0.00015617597473846224,0.0002558236363379562
166,0.00021559362336766798,0.00037200835065795494
167,0.0002705236121039655,0.00048175880696152586
168,6.198204665048826e-05,6.624521181232387e-05
169,5.343652856108711e-05,6.066507350100881e-05
170,2.8025997821176132e-05,1.3331807084435598e-05
171,2.7565450131384407e-05,8.195014097558536e-06
172,0.00016252896560327561,0.00027089571633325644
173,0.0005131987277101149,0.0009721923210201138
174,0.00026098601466597855,0.0004643489812235223
175,0.0004470967579959926,0.0008343312358559161
176,9.603005342488804e-05,0.0001076499012594257
177,7.549322330874274e-05,4.199878754344536e-05
178,6.011775732999956e-05,3.0048964930257327e-05
179,4.8117299483899404e-05,2.808107328557438e-05
180,8.006214495250523e-05,7.635695346862901e-05
181,9.729337702008561e-05,8.707520768440903e-05
182,0.00016737826813026274,0.00019107232936084158
183,6.361989037348199e-05,5.8007778843577355e-05
184,9.824979712403502e-05,0.00014151467473832492
185,0.0001389618949428094,0.00018901575881269815
186,0.0004575541748435552,0.0008263895907256112
187,0.0004884844506057924,0.0008664167483378074
188,0.0002287817003922634,0.0003110493981644057
189,0.00014123393738881747,0.00012296185011056177
190,0.00023789956250947674,0.0002723712897904349
191,0.0005256592047558249,0.0008052697606225583
192,0.0008083962336872214,0.000856159706209247
193,0.0015559204157448822,0.0018207316587730354
194,0.001846854516525663,0.0018929772633265822
195,0.0009477309363806398,0.0009599780352890835
196,0.000869327875233482,0.0007338516530716541
197,0.000570077110669283,0.0005999995100483529
198,0.0004855488995205349,0.0005538765517016103
199,0.00013624449272423911,0.00012263172731972395
